Inf High Medium Low,Inf High Low 6,Inf High Low Median,Average infiltration rate,Drainage Area Ratio,Age,Ponding Depth,Underdrain,Percent Residential,Percent Vegetation Shrub,Percent Vegetation Tree,Percent Vegetation Grass,Percent Vegetation Prairie,Percent Vegetation Other,Percent Veg Other,Percent of Surface with Poor Infiltration,Vegetation Condition,Engineered Soil Depth,Engineered Soil Percent Sand,Engineered Soil Percent Compost,Underlying Soil Percent Sand,Underlying Soil Percent Silt,Underlying Soil Percent Clay,Underlying Soil Percent Urban Disturbed,Underlying Soil Percent Other Undefined,Underlying Soil Percent Organic Matter,Percent Nonresidential,Soil_PC_1,Soil_PC_2
Medium,High,High,13.67,16,9,15,1,0,25,0,0,45,0,25,0,3,24,70,10,20,51,29,0,0,0.4,100,1.760542187,-0.441397602
High,High,High,16.62,14,6,12,1,0,10,0,80,10,0,10,0,3,18,70,10,5,47,48,0,0,0.27,100,2.399696264,-1.184926035
High,High,High,14.02,23,9,8,1,0,20,20,15,15,0,40,0,3,24,80,10,19,3,3,70,5,0.09,100,-1.73856998,-0.410530894
Medium,High,High,10.49,22,5,8,1,0,40,10,0,45,0,50,0,3,24,80,10,24,3,3,70,0,0.09,100,-1.693473626,-0.245259381
High,High,High,21.47,17,2.5,13,1,0,30,0,60,0,0,30,5,3,36,80,10,0,0,0,100,0,0,100,-2.325084231,-1.142507202
High,High,High,17.91,27,5,8.5,1,0,0,10,30,60,0,10,0,3,24,80,10,24,3,3,70,0,0.09,100,-1.693473626,-0.245259381
Medium,High,High,11.01,33,6,7,1,0,0,5,55,40,0,5,0,3,24,80,10,6,46,48,0,0,0.49,100,2.37298353,-1.138241461
High,High,High,32.01,11,5,8.5,1,0,10,20,70,0,0,30,0,3,24,80,10,5,44,44,0,7,0.25,100,2.08711843,-1.129278409
Medium,High,Low,6.38,16,8,11,1,100,0,25,65,10,0,25,0,2,24,80,10,24,3,3,70,0,0.09,0,-1.693473626,-0.245259381
Low,Low,Low,5.95,3,6,0,0,100,0,20,15,55,0,20,0,3,24,80,10,16,30,12,34,8,1.29,0,-0.081013152,-0.432450722
Medium,High,Low,9.21,6,7,0,1,0,0,0,90,0,0,0,0,2,24,70,10,0,0,0,100,0,0,100,-2.325084231,-1.142507202
Low,Low,Low,4,4,5,0,1,100,0,0,100,0,0,0,0,3,0,0,0,39,24,12,25,0,0.3,0,-0.074479331,0.32593619
Medium,High,Low,6.52,1,7,15,1,0,15,10,75,0,0,25,0,2,24,80,10,10,11,9,70,0,0.11,50,-1.215383922,-0.797586985
Low,Low,Low,5.59,3,7,20,1,0,0,0,0,100,0,0,0,3,24,80,10,10,11,9,70,0,0.11,100,-1.215383922,-0.797586985
High,High,High,18.31,8,7,26,1,0,15,5,80,0,0,20,0,3,24,80,10,10,11,9,70,0,0.11,100,-1.215383922,-0.797586985
Low,Low,Low,3.99,32,10,0,0,0,0,10,70,10,0,10,5,3,12,70,10,11,31,23,35,0,0.37,100,0.434129446,-0.797400082
Low,High,Low,6.21,19,13,12,1,30,0,0,0,100,0,0,0,3,24,40,30,18,42,40,0,0,0.13,30,1.929170079,-0.650985117
High,High,High,22.18,6,8,12,0,0,40,0,0,30,20,60,0,2,24,45,35,91,2,7,0,0,0.75,100,-0.571375686,2.288225955
High,High,High,50,3,8,13,0,0,0,0,0,0,30,30,0,2,24,45,35,92,2,6,0,0,0.1,100,-0.620289697,2.298689446
High,High,High,23.95,10,9,6,0,0,5,0,60,30,0,5,0,2,24,45,35,94,1,5,0,0,0.25,100,-0.687956151,2.387592528
Medium,High,Low,6.99,75,3,15.5,1,100,0,10,90,0,0,10,1,3,18,70,30,17,45,38,0,0,0.07,0,1.937557077,-0.666086801
Low,Low,Low,1.4,130,3,28,1,90,0,0,0,60,30,30,5,2,18,75,0,12,51,36,1,0,0.32,10,2.025355181,-0.805947746
Low,Low,Low,5.47,19,6,2.8,1,0,0,0,100,0,0,0,1,2,24,75,25,28,37,33,0,2,1.38,100,1.499675598,-0.153101272
Low,High,Low,6.85,148,5,48,1,90,10,10,0,80,0,20,0,2,20,75,25,18,49,33,0,0,0.25,10,1.858991159,-0.564535013
Medium,High,Low,9.22,20,1,21.5,1,0,0,0,0,100,0,0,0,3,24,75,25,15,53,32,0,0,0.27,100,1.938201278,-0.655947272
Low,High,Low,6.44,300,5,1.1,1,0,0,0,0,30,70,70,0,2,6,75,25,0,0,28,72,0,0.25,50,-0.808729274,-1.359482073
Low,Low,Low,5.4,45,13,1,1,0,0,0,0,60,30,30,0,2,36,40,30,60,29,11,0,0,3.09,100,0.423480148,1.296868659
Low,Low,Low,4.03,7,4,7.9,1,10,0,0,0,80,0,0,0,3,18,75,25,0,0,0,100,0,0,90,-2.325084231,-1.142507202
Medium,High,Low,9.95,15,8,5.8,1,20,20,0,0,50,10,30,0,2,12,70,30,42,35,23,0,0,0.53,80,1.046653936,0.396259048
High,High,High,13.9,29,7,18,1,0,0,0,0,90,10,10,0,3,17,75,25,44,33,23,0,0,0.5,100,0.986777886,0.463895682
Medium,High,Low,11.02,18,4,6.2,0,30,0,0,0,90,0,0,0,3,24,75,25,52,36,12,0,0,2.25,70,0.660069531,0.962350649
Low,Low,Low,3.58,12,3,18.5,0,0,0,0,100,0,0,0,0,3,12,75,25,5,6,27,0,62,0.27,100,-0.218369789,-0.8469993
Low,Low,Low,4.03,38,12,3.5,1,100,2,0,0,90,8,10,0,2,24,57,30,18,44,38,0,0,0.25,0,1.910295357,-0.621592227
Medium,High,High,13.78,45,13,1,1,0,2,0,0,95,3,5,5,2,26,75,25,36,31,18,0,15,1.28,0,0.602764759,0.310320356
Medium,High,Low,10.07,7,3,9,1,0,10,0,0,70,5,15,0,3,18,75,25,0,0,0,100,0,0,100,-2.325084231,-1.142507202
Low,Low,Low,4.75,8,4,6,1,0,0,0,0,99,1,1,0,2,12,0,0,17,43,40,0,0,0.73,100,1.967137019,-0.652774666
Low,High,Low,7.58,29,5,6,1,10,0,0,95,5,0,0,0,1,18,0,0,14,54,30,1,1,0.2,90,1.86392745,-0.673184692
High,High,High,21.18,2,4,7,1,0,20,60,0,0,0,80,10,2,36,85,15,6,45,46,0,3,0.24,100,2.232776412,-1.124350287
Medium,High,Low,13.68,3,3,16,1,100,45,2,50,0,3,50,0,3,18,70,30,17,45,38,0,0,0.07,0,1.937557077,-0.666086801
Medium,High,Low,11.72,45,3,19,1,100,0,0,0,99,0,0,0,3,18,70,30,8,45,47,0,0,0.25,0,2.299964466,-1.07069089
Low,Low,Low,4.75,32,7,2,0,0,0,0,0,50,0,0,0,3,36,70,30,33,51,16,0,0,0.51,100,1.242142964,0.163288039
Medium,High,High,14.24,30,15,2,1,0,0,10,0,60,30,40,0,3,30,40,40,8,60,32,0,0,0.25,100,2.146051873,-0.899519247
Low,High,Low,9.26,9,6,7.8,1,0,1,50,20,28,0,51,0,3,24,70,30,0,0,0,0,100,0,100,-1.823011527,-0.666630616
Low,High,Low,12.98,4,3,12,1,0,0,1,0,95,4,5,0,3,24,15,5,0,0,0,0,100,0,0,-1.823011527,-0.666630616
High,High,High,27.44,10,8,15,1,0,40,8,0,0,52,100,0,3,18,100,0,36,33,19,0,12,0.21,100,0.71459451,0.235570585
Medium,High,High,20.45,12,9,18,1,0,5,20,0,65,5,30,0,3,36,70,30,12,51,35,1,1,0.29,100,1.975931176,-0.794593539
High,High,High,40.77,3,10,7.5,1,100,40,10,0,35,10,60,0,2,18,70,30,0,0,0,100,0,0,0,-2.325084231,-1.142507202
High,High,High,47.25,3,10,5.5,1,100,5,5,35,0,55,65,0,3,18,70,30,0,0,0,100,0,0,0,-2.325084231,-1.142507202
Low,Low,Low,2.92,517,8,7,0,0,0,100,0,0,0,100,0,2,12,75,25,0,0,0,100,0,0,100,-2.325084231,-1.142507202
Low,High,Low,9.65,10,3,2,0,90,0,0,0,100,0,0,0,3,6,75,25,0,0,0,0,100,0,10,-1.823011527,-0.666630616
Low,High,Low,13.91,39,3,7.5,1,10,0,1,0,98,1,2,1,3,18,70,30,0,0,0,100,0,0,90,-2.325084231,-1.142507202
