Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other
17.5592237,220,2365,11,7,3,2,2,1,0,100,0,0,90,10,0,0,0,0,37,33,15,0,15,0.8,0,0,3,1,0,0,0,0,1,0,0,16,50,45,5,0,0
12.84580952,245,855,3,6,2,3,3,1,0,70,0,30,75,10,0,0,0,15,5,7,4,79,5,0.1,0,0,3,1,0,0,0,0,0,0,1,16,50,45,5,0,0
15.26176279,75,1100,15,10,2,3,3,1,30,70,0,0,40,0,0,40,0,20,14,17,6,60,3,0.2,0,0,3,1,0,0,0,0,1,0,0,24,50,0,0,0,50
14.82658452,2188,7700,4,11,6,3,3,1,0,0,0,100,90,10,0,0,0,0,66,24,10,0,0,0.3,0,0,3,0,0,0,1,0,0,0,1,7,50,40,10,0,0
21.38595147,2314,61000,26,10,5,3,3,1,100,0,0,0,95,5,0,0,0,0,26,48,21,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0
16.4566748,615,48000,78,11,6,3,2,1,0,0,0,100,95,5,0,0,0,0,41,42,17,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,24,94,4,2,0,0
9.483800176,984,20593,21,6,24,1,3,0,100,0,0,0,100,0,0,0,0,0,26,62,12,0,0,0.9,0,0,3,0,0,0,1,0,1,0,0,24,89,4,2,5,0
13.19451817,7700,8400,1,16,6,3,2,1,0,0,0,100,40,10,0,50,0,0,65,18,12,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,21,50,0,0,25,25
16.49093148,436,3297,8,9,3,3,3,0,0,40,0,60,20,10,0,50,0,20,7,2,1,80,10,0.4,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13.82039236,4318,12877,3,9,8,3,2,1,50,50,0,0,50,0,0,50,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,30,79,5,3,13,0
8.9712508,2535,23700,9,11,6,3,3,1,30,0,0,70,0,0,0,90,0,10,41,42,17,0,0,0.5,0,0,2,0,0,0,1,0,0,0,1,24,82,5,3,10,0
6.69432712,4334,39000,9,2,12,2,3,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,12,88,4,2,6,0
16.48054853,6049,39000,6,2,12,3,2,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,24,88,4,2,6,0
6.216421147,800,29700,37,12,4,3,3,1,0,60,0,40,0,0,100,0,0,0,14,12,4,70,0,0.3,0,0,2,1,0,0,0,0,0,0,1,12,61,3,1,35,0
15.24274967,5081,39000,8,10,6,2,3,1,70,0,0,30,10,40,0,40,0,10,40,43,17,0,0,0.5,0,0,3,0,0,0,1,0,0,0,1,24,89,4,2,5,0
18.68311224,4000,130680,33,6,0,3,2,1,0,0,0,100,0,0,0,90,0,10,17,47,36,0,0,0.46,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18.3826404,2300,43560,19,6,10.8,3,3,1,30,0,0,70,0,30,0,60,10,0,95,1,4,0,0,0.28,0,0,3,1,0,0,0,0,0,1,0,24,80,0,10,0,10
4.40219592,15200,60000,4,6,0,3,3,1,100,0,0,0,0,15,50,15,20,0,49,13,13,25,0,0.31,0,0,2,0,0,1,0,0,1,0,0,24,70,0,20,10,0
7.71982988,5500,50000,9,5,0,3,3,0,40,0,0,60,0,0,0,70,30,0,14,44,22,0,20,0.6,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
10.36840446,53000,3600000,68,7,0,3,3,0,0,0,0,100,0,15,0,85,0,0,25,23,17,35,0,0.23,0,0,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0
18.9704596,1830,27000,15,9,15,3,3,1,0,0,0,100,25,15,40,0,20,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
13.6673056,1250,20000,16,9,15,3,3,1,0,0,0,100,25,0,0,45,30,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0
16.62,10000,140000,14,6,12,3,3,1,0,0,0,100,10,0,80,10,0,0,5,47,48,0,0,0.27,0,0,3,0,0,1,0,0,1,0,0,18,70,10,10,10,0
14.02323441,4400,100000,23,9,8,3,3,1,0,40,0,60,20,20,15,15,30,0,19,3,3,70,5,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
10.48577087,5000,110000,22,5,8,3,3,1,0,0,0,100,40,10,0,45,5,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
21.46397731,12300,215000,17,2.5,13,3,2,1,0,0,0,100,30,0,60,0,10,0,0,0,0,100,0,0,1,5,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0
17.90642088,4500,120000,27,5,8.5,3,3,1,0,0,0,100,0,10,30,60,0,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
11.0090331,4000,130000,33,6,7,3,3,1,0,0,0,100,0,5,55,40,0,0,6,46,48,0,0,0.49,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
32.00799517,15000,170000,11,5,8.5,3,3,1,0,0,0,100,10,20,70,0,0,0,5,44,44,0,7,0.25,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
6.375,1900,30000,16,8,11,3,3,1,100,0,0,0,0,25,65,10,0,0,24,3,3,70,0,0.09,0,0,2,0,0,1,0,0,1,0,0,24,80,0,10,10,0
5.95,10000,30000,3,6,0,3,3,0,100,0,0,0,0,20,15,55,10,0,16,30,12,34,8,1.29,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0
9.20407608,9000,55000,6,7,0,2,3,1,0,100,0,0,0,0,90,0,10,0,0,0,0,100,0,0,0,0,2,0,0,1,0,0,1,0,0,24,70,10,10,10,0
