Average infiltration rate,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Soil_PC_1,Soil_PC_2,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost
8.1913358,6,8,35,0,0,10,10,0,75,0,0,3,-0.620564155,-1.823888178,,,
3.128487592,12,13,18,0,0,55,5,0,25,15,0,3,-0.87864133,-2.034821739,,,
12.68279837,294,7,12,0,50,30,10,0,60,0,0,1,1.227327302,-0.097376865,,,
21.98050722,6,5,38,1,10,0,0,10,60,0,0,2,-0.909459195,0.415782485,,,
8.7023448,24,9,35,0,10,0,0,20,70,0,0,3,-0.909459195,0.415782485,,,
17.4755556,2,9,0,0,10,0,10,20,70,0,0,3,-0.909459195,0.415782485,,,
11.12737932,17,7,18,0,0,10,10,60,10,10,0,3,-1.864220663,1.449075861,,,
17.362,52,8,1.4,1,90,10,10,60,0,10,0,2,-0.915179101,-1.838393515,18,70,30
1.496264724,9,18,0,1,0,0,10,90,0,0,0,3,-0.790440744,1.31813709,,,
1.84109868,4,8,0,0,20,0,0,10,80,10,0,3,-0.790440744,1.31813709,,,
17.6314608,3,7,24,1,0,0,0,20,70,10,0,3,-0.46939113,1.346311535,,,
10.89423018,1,7,0,1,0,0,10,20,70,0,0,3,-0.909459195,0.415782485,,,
0.05,29,17,18,0,10,0,10,10,70,0,5,3,-0.46939113,1.346311535,24,0,0
6.93211212,71,3,14,1,100,10,10,50,20,10,5,3,-1.42442993,1.346589598,30,50,0
11.91186594,2,3,6,1,90,10,10,70,0,0,0,3,-0.206292594,1.245158478,18,0,0
12.39162876,4,5,13.5,1,0,40,10,30,20,0,0,3,2.152976754,0.403773724,12,70,0
29.2818312,3,5,6,1,0,20,10,0,0,70,0,3,-1.801608323,1.242874512,34,50,20
0.58873903,19,5,5,0,100,30,0,70,0,0,0,3,0.268824093,-0.581256113,32,70,10
3.943409436,6,14,6,1,0,40,10,10,0,10,80,3,1.088827053,-0.442222789,14,80,10
21.7842084,13,9,8,1,0,40,10,0,0,20,0,3,-1.801608323,1.242874512,24,0,0
13.80753144,27,1,0,1,50,20,10,50,20,0,5,3,-1.633214889,0.771863273,36,60,5
16.724376,10,13,4,1,0,10,40,0,10,40,7,3,-1.706699594,1.266428122,4,40,10
28.6015176,5,11,2.8,1,100,0,0,0,0,100,0,3,-0.936220915,-2.074866696,29,10,10
31.98526162,83,8,7.9,1,0,0,0,0,90,0,0,3,1.236694589,-0.327825331,24,88,6
3.61648888,30,9,4,0,70,60,0,0,30,10,0,3,2.478567216,0.861910717,18,60,10
10.4848216,16,7,6,0,0,60,0,0,30,10,0,3,-1.706699594,1.266428122,24,50,10
3.0436947,6,12,7.1,1,100,0,0,0,75,25,0,3,-0.806210781,0.866396491,30,50,0
14.18666454,8,7,3.5,1,0,0,0,100,0,0,0,3,-1.176176684,0.901397838,,,
8.5124304,3,9,6,1,10,0,10,0,90,0,0,3,-1.319989127,0.739301478,28,89,5
16.949985,0,7,3,1,0,30,10,0,0,60,0,3,1.296870377,-0.292773888,24,40,0
7.500720848,3,17,3.5,1,50,60,40,0,0,0,10,3,-0.268480029,-1.528898432,30,48,0
12.53833938,33,9,10,1,0,40,0,20,40,0,0,3,0.3869685,-1.002931181,30,60,10
17.5592237,11,7,3,1,0,90,10,0,0,0,0,3,0.59868519,-0.244011153,16,50,0
12.84580952,3,6,2,1,0,75,10,0,0,15,0,3,-1.416399422,1.308101193,16,50,0
15.26176279,15,10,2,1,30,40,0,0,40,20,0,3,-0.806178729,0.866334843,24,50,0
14.82658452,4,11,6,1,0,90,10,0,0,0,0,3,0.129564414,-1.215159357,7,50,0
21.38595147,26,10,5,1,100,95,5,0,0,0,0,3,1.459692875,0.049943197,24,88,6
16.4566748,78,11,6,1,0,95,5,0,0,0,0,3,1.088923209,-0.442407734,24,94,0
9.483800176,21,6,24,0,100,100,0,0,0,0,0,3,1.560881078,-0.025825709,24,89,5
13.19451817,1,16,6,1,0,40,10,0,50,0,0,3,-0.016461308,-1.143442582,21,50,25
16.49093148,8,9,3,0,0,20,10,0,50,20,0,3,-1.767489674,1.274469529,0,0,0
13.82039236,3,9,8,1,50,50,0,0,50,0,0,3,-1.319989127,0.739301478,30,79,13
8.9712508,9,11,6,1,30,0,0,0,90,10,0,2,1.088923209,-0.442407734,24,82,10
6.69432712,9,2,12,1,80,0,0,0,100,0,0,2,1.236534329,-0.327517089,12,88,6
16.48054853,6,2,12,1,80,0,0,0,100,0,0,2,1.236534329,-0.327517089,24,88,6
6.216421147,37,12,4,1,0,0,0,100,0,0,0,2,-1.141224686,0.931389999,12,61,35
15.24274967,8,10,6,1,70,10,40,0,40,10,0,3,1.124195725,-0.413032056,24,89,5
6.77691558,91,7,19.2,1,0,0,0,50,50,0,0,3,2.394886817,0.706084539,,,
7.20282024,76,7,0,0,70,0,0,90,0,0,0,3,2.394886817,0.706084539,,,
17.929098,27,6,8.4,1,100,30,10,50,0,0,0,3,-1.504510425,0.631158086,,,
2.342688228,7,6,12,1,30,0,10,40,40,0,0,3,-1.809710481,1.456948256,,,
16.5401244,44,6,9.6,0,80,20,0,80,0,0,0,3,-0.084323007,-0.254492517,,,
50,174,6,9.6,1,0,0,10,90,0,0,0,3,2.021933451,0.27687763,,,
18.68311224,33,6,0,1,0,0,0,0,90,10,0,2,2.147813456,0.363134436,0,0,0
11.03100156,16,8,0,0,70,40,0,0,10,50,0,2,-1.809710481,1.456948256,,,
50,16,6,0,1,0,20,10,0,0,70,0,3,-1.706699594,1.266428122,,,
12.93021036,57,6,0,1,0,0,10,0,70,10,0,3,-1.993101538,1.59851492,,,
50,1,6,16.8,1,0,10,0,0,10,80,0,3,-1.504414269,0.630973141,,,
18.3826404,19,6,10.8,1,30,0,30,0,60,0,0,3,-0.96029182,-2.099000207,24,80,0
50,54,5,6,1,60,0,0,0,40,60,0,3,2.021933451,0.27687763,,,
9.08218656,26,6,6,1,0,10,0,0,90,0,0,2,-1.964012117,1.761340906,,,
6.55227036,19,6,18,1,0,30,0,0,60,0,40,2,2.410316736,0.616125197,,,
4.40219592,4,6,0,1,100,0,15,50,15,0,0,2,-0.322305675,-0.467357953,24,70,10
7.71982988,9,5,0,0,40,0,0,0,70,0,0,3,1.286105225,0.497407198,24,70,10
10.36840446,68,7,0,0,0,0,15,0,85,0,0,3,0.135177576,0.351357106,36,80,10
18.9704596,15,9,15,1,0,25,15,40,0,0,0,3,1.964001296,0.237510804,24,70,10
13.6673056,16,9,15,1,0,25,0,0,45,0,0,3,1.964001296,0.237510804,24,70,10
16.62,14,6,12,1,0,10,0,80,10,0,0,3,2.705727362,0.778117038,18,70,10
14.02323441,23,9,8,1,0,20,20,15,15,0,0,3,-1.530759541,0.807797196,24,80,10
10.48577087,22,5,8,1,0,40,10,0,45,0,0,3,-1.504446321,0.631034789,24,80,10
21.46397731,17,2.5,13,1,0,30,0,60,0,0,5,3,-1.993101538,1.59851492,36,80,10
17.90642088,27,5,8.5,1,0,0,10,30,60,0,0,3,-1.504446321,0.631034789,24,80,10
11.0090331,33,6,7,1,0,0,5,55,40,0,0,3,2.669749704,0.750097623,24,80,10
32.00799517,11,5,8.5,1,0,10,20,70,0,0,0,3,2.377367101,0.798616103,24,80,10
6.375,16,8,11,1,100,0,25,65,10,0,0,2,-1.504446321,0.631034789,24,80,10
5.95,3,6,0,0,100,0,20,15,55,0,0,3,0.112502819,0.634270609,24,80,10
9.20407608,6,7,0,1,0,0,0,90,0,0,0,2,-1.993101538,1.59851492,24,70,10
4,4,5,0,1,100,0,0,100,0,0,0,3,0.019281981,-0.178966638,0,0,0
6.52,1,7,15,1,0,15,10,75,0,0,0,2,-0.943677833,1.07424047,24,80,10
5.58558548,3,7,20,1,0,0,0,0,100,0,0,3,-0.943677833,1.07424047,24,80,10
18.31067284,8,7,26,1,0,15,5,80,0,0,0,3,-0.943677833,1.07424047,24,80,10
3.988267614,32,10,0,0,0,0,10,70,10,0,5,3,0.695561441,0.795302566,12,70,10
6.20360964,19,13,12,1,30,0,0,0,100,0,0,3,2.158276893,0.352939625,24,40,30
22.181058,6,8,12,0,0,40,0,0,30,20,0,2,-0.787199512,-1.962688577,24,45,35
50,3,8,13,0,0,0,0,0,0,30,0,2,-0.831558216,-2.001375212,24,45,35
23.952708,10,9,6,0,0,5,0,60,30,0,0,2,-0.913753587,-2.064505658,24,45,35
6.984340362,75,3,15.5,1,100,0,10,90,0,0,1,3,2.1714026,0.371337782,18,70,30
1.394926344,130,3,28,1,90,0,0,0,60,30,5,2,2.281225584,0.51844742,18,75,0
5.46802056,19,6,2.8,1,0,0,0,100,0,0,1,2,1.642288,0.041715785,24,75,25
6.84849024,148,5,48,1,90,10,10,0,80,0,0,2,2.079705348,0.316552697,20,75,25
9.2196666,20,1,21.5,1,0,0,0,0,100,0,0,3,2.174289233,0.399499212,24,75,25
6.43605012,300,5,1.1,1,0,0,0,0,30,70,0,2,-0.465978109,1.488228162,6,75,25
5.39715456,45,13,1,1,0,0,0,0,60,30,0,2,0.343426597,-1.016401591,36,40,30
4.02448014,7,4,7.9,1,10,0,0,0,80,0,0,3,-1.993101538,1.59851492,18,75,25
9.94391712,15,8,5.8,1,20,20,0,0,50,10,0,2,1.120571898,-0.439775575,12,70,30
13.89965724,29,7,18,1,0,0,0,0,90,10,0,3,1.050123021,-0.498711876,17,75,25
11.01186774,18,4,6.2,0,30,0,0,0,90,0,0,3,0.639468647,-0.781270811,24,75,25
3.58046788,12,3,18.5,0,0,0,0,100,0,0,0,3,-0.042013352,1.037298724,12,75,25
4.02444247,38,12,3.5,1,100,2,0,0,90,8,0,2,2.135553149,0.343071774,24,57,30
13.78358927,45,13,1,1,0,2,0,0,95,3,5,2,0.665927897,-0.195764909,26,75,25
