Index,Average infiltration rate,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other
IL_2022_01,4.21581834,5700,43560,8,7,4,3,3,0,30,0,0,70,40,10,0,30,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_02,12.40651062,700,39204,56,7,4,3,3,0,0,0,0,100,20,20,0,40,20,0,89,6,3,2,0,0.26,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_03,7.618095,1000,8712,9,5,3,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_04,3.78018934,1000,4356,4,5,4,3,3,0,100,0,0,0,90,0,0,0,10,0,4,38,20,38,0,0.5,0,0,2,1,0,0,0,0,0,1,0,,,,,,
IL_2022_06,9.9531297,1000,4356,4,1,4,3,3,1,0,0,0,100,10,10,0,30,0,50,2,22,11,65,0,0.32,0,0,2,0,0,1,0,0,0,1,0,,,,,,
IL_2022_07,30.684978,4200,34848,8,4,4,3,3,0,0,0,0,100,50,10,0,40,0,0,9,57,33,1,0,0.35,0,0,3,1,0,0,0,0,0,1,0,,,,,,
IL_2022_08,6.2539245,5500,43560,8,3,6,3,3,0,0,0,0,100,0,0,0,50,20,30,35,34,28,2,1,1.31,0,0,2,1,0,0,0,0,0,0,1,,,,,,
IL_2023_01,8.90147826,3400,11000,3,4,8.5,3,3,1,0,0,0,100,25,25,0,20,5,25,10,41,46,1,2,2.05,0,0,3,0,0,1,0,0,0,0,1,,,,,,
IL_2023_02,10.66108104,1200,15000,13,2,5,2,3,0,0,0,0,100,0,5,0,90,0,5,9,57,33,1,0,0.35,1,20,3,0,0,0,1,0,0,0,1,,,,,,
IL_2023_03,14.75004924,1600,34000,21,25,6,2,3,0,10,0,0,90,0,7,0,90,3,0,89,6,3,2,0,0.26,0,0,3,1,0,0,0,0,0,0,1,,,,,,
IN_2022_01,14.30288478,8200,39204,5,9,6,3,2,1,100,0,0,0,20,10,40,30,0,0,22,45,33,0,0,0.75,0,0,3,0,0,0,1,0,0,0,1,18,0,0,0,0,100
IN_2022_02,4.05211788,3678,24394,7,5,8,3,3,1,0,0,0,100,0,0,0,70,10,20,92,4,4,0,0,0.27,0,0,3,1,0,0,0,0,0,0,1,12,50,0,0,20,30
IN_2022_03,17.5497523,27300,26136,1,4,0,3,3,0,0,0,0,100,0,0,0,90,10,0,15,50,35,0,0,5,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
IN_2022_04,4.95495072,4432,43560,10,5,18,2,3,1,0,40,0,60,0,0,0,90,0,10,36,28,16,20,0,0.4,0,0,3,0,0,0,1,0,0,0,1,24,25,0,0,15,60
IN_2022_05,17.610201,440,26136,59,7,6,1,3,1,10,90,0,0,0,10,20,70,0,0,48,1,1,50,0,0.13,0,0,3,1,0,0,0,0,0,0,1,,,,,,
IN_2023_01,14.78298119,215,3000,14,5,4,3,3,0,0,0,0,100,5,5,0,70,0,20,0,0,0,100,0,0,0,0,3,0,0,1,0,0,1,0,0,,,,,,
IN_2023_02,11.05904867,1600,23000,14,10,6,3,2,1,0,0,0,100,0,0,0,100,0,0,42,34,24,0,0,1.3,0,0,3,0,0,0,1,0,0,0,1,,,,,,
