High Low Inf,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost,Soil_PC_1,Soil_PC_2
0,32,10,0,0,0,0,10,70,10,0,5,3,12,70,10,0.434129446,-0.797400082
0,19,13,12,1,30,0,0,0,100,0,0,3,24,40,30,1.929170079,-0.650985117
1,6,8,12,0,0,40,0,0,30,20,0,2,24,45,35,-0.571375686,2.288225955
1,3,8,13,0,0,0,0,0,0,30,0,2,24,45,35,-0.620289697,2.298689446
1,10,9,6,0,0,5,0,60,30,0,0,2,24,45,35,-0.687956151,2.387592528
0,75,3,15.5,1,100,0,10,90,0,0,1,3,18,70,30,1.937557077,-0.666086801
0,130,3,28,1,90,0,0,0,60,30,5,2,18,75,0,2.025355181,-0.805947746
0,19,6,2.8,1,0,0,0,100,0,0,1,2,24,75,25,1.499675598,-0.153101272
0,148,5,48,1,90,10,10,0,80,0,0,2,20,75,25,1.858991159,-0.564535013
0,20,1,21.5,1,0,0,0,0,100,0,0,3,24,75,25,1.938201278,-0.655947272
0,300,5,1.1,1,0,0,0,0,30,70,0,2,6,75,25,-0.808729274,-1.359482073
0,45,13,1,1,0,0,0,0,60,30,0,2,36,40,30,0.423480148,1.296868659
0,7,4,7.9,1,10,0,0,0,80,0,0,3,18,75,25,-2.325084231,-1.142507202
0,15,8,5.8,1,20,20,0,0,50,10,0,2,12,70,30,1.046653936,0.396259048
1,29,7,18,1,0,0,0,0,90,10,0,3,17,75,25,0.986777886,0.463895682
0,18,4,6.2,0,30,0,0,0,90,0,0,3,24,75,25,0.660069531,0.962350649
0,12,3,18.5,0,0,0,0,100,0,0,0,3,12,75,25,-0.218369789,-0.8469993
0,38,12,3.5,1,100,2,0,0,90,8,0,2,24,57,30,1.910295357,-0.621592227
1,45,13,1,1,0,2,0,0,95,3,5,2,26,75,25,0.602764759,0.310320356
0,7,3,9,1,0,10,0,0,70,5,0,3,18,75,25,-2.325084231,-1.142507202
0,8,4,6,1,0,0,0,0,99,1,0,2,12,0,0,1.967137019,-0.652774666
0,29,5,6,1,10,0,0,95,5,0,0,1,18,0,0,1.86392745,-0.673184692
