Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,EngSoil_PC_1,EngSoil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
NY_2022_02,11.91186594,High,Medium,20550,37026,2,3,6,3,3,1,90,10,0,0,10,10,70,0,10,0,3,18,18,61,0,0.31,0,0,3,1,0,0,0,0,0,0,1,18,0,0,0,0,100,-0.586153691,-1.651908501,0.647929766,1.449815076,-1.099654225,-0.518216971,-1.103255431,-3.523913919,-0.585047819,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2022_03,12.39162876,High,Medium,260,1045,4,5,13.5,2,2,1,0,0,100,0,40,10,30,20,0,0,14,59,27,0,0,0.5,0,0,3,0,0,1,0,0,0,0,1,12,70,10,10,0,10,0.698907296,-0.418407633,-1.758994016,1.01103622,0.407060471,1.919785904,-0.620937119,1.031654109,-0.722932826,-0.404804717,-1.570929293,9.55E-15,1.097769134,-0.114828893
NY_2022_04,29.2818312,High,High,116,392,3,5,6,3,3,1,0,100,0,0,20,10,0,0,0,70,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,34,50,0,0,20,30,0.714349706,-0.764569885,-2.768708311,0.65620599,0.541143454,-2.064202846,-0.795289436,-0.877646265,0.407559215,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2022_05,0.58873903,Low,Low,2423,46696,19,5,5,3,3,0,100,0,0,0,30,0,70,0,0,0,57,32,11,0,0,59.38,0,0,3,0,0,1,0,0,0,0,1,32,70,0,20,10,0,0.407049995,-1.750501681,1.027556219,1.657752579,-0.894598853,1.285236675,4.274829197,2.039507577,-0.778521997,-0.404804717,-1.570929293,9.55E-15,1.097769134,-0.114828893
NY_2022_06,3.943409436,Low,Low,2697,16901,6,14,6,3,3,1,0,0,0,100,40,10,10,0,30,10,41,42,17,0,0,0.53,1,80,3,0,0,1,0,0,0,0,1,14,80,10,0,10,0,0.512752914,1.444004353,0.403568291,0.829011903,1.146359732,1.014821054,0.430088138,0.56408296,0.253558243,8.626742231,-1.570929293,9.55E-15,1.097769134,-0.114828893
NY_2022_07,21.7842084,High,High,937,12110,13,9,8,2,3,1,0,50,50,0,40,10,0,0,30,20,8,1,1,80,10,0.04,0,0,3,1,0,0,0,0,0,0,1,24,0,0,0,0,100,0.588945117,-0.591488759,-2.263851163,0.68100855,1.35811263,-2.064202846,-0.795289436,-3.523913919,-0.585047819,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2022_09,13.80753144,High,Medium,870,23217,27,1,0,3,3,1,50,50,0,0,20,10,50,20,0,0,14,0,0,0,86,0.06,1,5,3,0,0,0,1,0,0,0,1,36,60,0,4,5,31,0.496347312,-1.257535783,-0.870576046,1.00622464,-0.533465862,-1.695918257,-0.200585378,-0.323169997,0.219681753,2.076620993,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2022_10,16.724376,High,High,1324,12937,10,13,4,3,3,1,0,100,0,0,10,40,0,10,0,40,0,0,0,0,100,0,1,7,3,1,0,0,0,0,0,0,1,4,40,40,10,10,0,0.580717899,-0.764569885,-2.768708311,0.86545587,0.910657628,-1.823011527,-0.666630616,0.985837234,-3.168483685,2.251290893,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2022_11,28.6015176,High,High,646,3136,5,11,2.8,3,3,1,100,0,0,0,0,0,0,0,0,100,94,3,3,0,0,0.29,0,0,3,1,0,0,0,0,0,0,1,29,10,0,0,10,0,0.666315596,-1.750501681,1.027556219,0.170501675,-0.187859366,-0.707928845,2.412605415,-1.059623428,0.003120955,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2022_12,31.98526162,High,High,2842,236095,83,8,7.9,3,3,1,0,0,100,0,0,0,0,90,10,0,38,41,21,0,0,1.35,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0,-0.292551726,-0.418407633,-1.758994016,-1.676495089,-0.159178189,1.156315084,0.325418688,0.842461289,0.619529511,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
